ssoc,title,description
12213,Regional sales manager,"Regional sales manager plans, directs and coordinates sales operations in an organisation across multiple countries. He/she analyses data, builds sales plans and sets sales targets and goals for the sales territories. He/she leads the development of sales strategies, expands sales channels and network across multiple countries. He/she may drive client relationships by managing regional sales related customer service."
12214,Merchandising/category manager,"Merchandising/Category manager oversees the implementation of merchandising strategies and defines the sales programme for specific product groups. He/she develops strategic partnerships, manages product assortment, drives product development and budget management. He/she may also review market and industry trends to drive appeal of merchandises to target customers."
12215,Online sales channel manager,"Online sales channel manager defines the sales programme for e-commerce, i.e. goods and services sold via e-mail, Internet and social media. He/she assists in planning of the online sales strategy and identifying marketing opportunities. He/she also analyses competitor sites, reviews the site performance and analytics."
12221,Advertising/Public relations manager,"Advertising/Public relations manager plans, directs and coordinates the advertising, public relations and public information activities of enterprises and organisations, or of enterprises that provide related services to other enterprises and organisations."
12222,Marketing manager,"Marketing manager plans, directs and coordinates marketing operations in an organisation. He/she drives the organisation's business strategies by setting direction for the organisation's marketing campaigns, programmes and communication plans. He/she develops marketing strategies and plans by detailing cost and resources needed. He/she analyses the profitability of these plans, develops pricing strategies, and strives to raise awareness on products and companies among targeted customers."
12230,Research and development manager,"Research and development manager plans, directs and coordinates the research and development activities of an enterprise or organisation or of enterprises that provide related services to other enterprises and organisations."
12241,Customer service manager,"Customer service manager oversees overall customer service excellence, develops process review and innovation frameworks, and implements initiatives to review the customer service process. He/she also manages the overall service quality and customer relationship management resources, including manpower, internal assets and external vendors. He/she investigates and solves customers' problems, which may be complex or long-standing problems that have been passed on by customer service assistants. He/she analyses statistics or other data to determine the level of customer service an organisation is providing."
12242,Call centre manager,"Call centre manager plans, organises and controls the operations of call centres and maintains sound customer relations. He/she sets the objectives of the service per month, week, and day and manages the results obtained in the centre and addresses problems faced in the operations."
13100,Production manager in agriculture and fisheries,"Production manager in agriculture and fisheries plans, directs, and coordinates growing and production of crops and fish."
13210,Manufacturing manager,"Manufacturing manager plans, directs and coordinates activities concerned with the production of goods, the production and distribution of electricity, gas and water, and the collection, treatment and disposal of waste. He/she may manage the production department of large enterprise or be the manager of small manufacturing company."
13230,Construction manager,"Construction project manager plans, directs and coordinates the construction of civil engineering projects, buildings and dwellings."
13241,Supply and distribution/Logistics/Warehousing manager,"Supply and distribution/Logistics/Warehousing manager plans, directs, or coordinates transportation, storage, or distribution activities in accordance with organisational policies and applicable government laws or regulations."
13242,Procurement/Purchasing manager,"Procurement/Purchasing manager buys goods, equipment and services for the company while trying to ensure the most competitive prices. He/she negotiates contracts, reviews the quality of products and analyses the use and resale of goods and services."
13243,Transport/technical operations manager (except port/shipping operations),"Transport/Technical operations manager (except port/shipping operations) plans, organises and controls operational activities on road, rail or air. He/she formulates policies to ensure the efficient handling of freight and passenger traffic. He/she assesses the adequacy of existing transport facilities and time schedule while devising or approving methods and procedures for operating freight and passenger services."
13244,Postal service manager,"Postal service manager plans, organises, directs, controls and evaluates the activities and operations of postal facilities and courier service companies, or of operational divisions within courier service companies. He/she coordinates the duties of supervisors and other staff in addition to managing the accurate and expedient movement of mail and parcels through postal and parcel sorting facilities."
13245,Port/Shipping operations manager,"Port/Shipping operations manager oversees port, shipping and cargo operations. He/she oversees the rectification activities of equipment abnormalities and drives process improvement initiatives. He/she may provide advice to ships and management on cargo requirements, tank cleaning, stability and stress and maintain all statutory requirements for the ships."
13291,Technical/Engineering services manager (excluding transport),"Technical/Engineering services manager (excluding transport) manages and deploys technical and engineering resources. He/she manages the provision of technical services internally or to customers and business partners to install, maintain and repair equipment and systems. He/she formulates strategies to ensure the technical competitiveness of the organisation's products in the market, and drives the engineering development of products. He/she may also provide technical expertise in troubleshooting technical issues in products or equipment."
13292,Quality control/assurance manager,"Quality control/assurance manager defines the quality assurance of the organisation and also ensures that the production or service standards meets regulatory requirements. He/she manages the development and review of the organisation‘s quality system and Standard Operating Procedures (SOPs), with reference to the regulatory requirements, and ensures compliance."
13299,Other production and operations managers n.e.c. (e.g. mining manager),This group includes production and operations managers not elsewhere classified.
13301,Chief information officer/Chief technology officer/Chief security officer,Chief information officer/Chief technology officer/Chief security officer defines and implements the information and communication technology (ICT) strategy and governance. He/she determines the necessary resources for the ICT strategy implementation in addition to anticipating ICT market evolutions and company business needs.
13302,Software and applications manager,Software and applications manager oversees the acquisition and development of software systems in organisational units. He/she monitors the results and quality of the different software solutions and projects implemented in the organisation.
13303,"Network, communications and infrastructure manager","Network, communications and infrastructure manager drives the implementation of strategy for network and communications infrastructure operations and maintenance to ensure availability of stable and secure systems. He/she identifies problems and presents new methodologies and solutions to key stakeholders and also enhances and improves the delivery of infrastructure operations and maintenance services."
13304,ICT service manager,"ICT service manager plans and directs the information processing activities of the organisation along with coordinating the effective design, implementation and operation of management information systems and applications. He/she oversees the maintenance and upgrading of support systems and conducts on-site training to promote efficient operations."
13410,Pre-school education manager,"Pre-school education manager plans, directs, coordinates and evaluates the provision of care for children in before-school, after-school, vacation and day care centres and services. He/she oversees the planning, implementation and monitoring of pedagogy and programmes for the centre."
13420,Health services manager,"Health services manager plans, directs, coordinates and evaluates the provision of clinical and community healthcare services in hospitals, clinics, public health agencies and similar organisations."
13430,Aged care services manager,"Aged care services manager plans, directs, coordinates and evaluates the provision of residential and personal care services for individuals and families who are in need of such services due to the effects of ageing."
13441,Social service manager,"Social service manager plans, directs and coordinates the provision of social and community service programmes such as income support, family assistance, children's services and other community programmes and services."
13442,Volunteer manager,"Volunteer manager plans, directs, or coordinates the activities of a social service program or community outreach organisation. He/she oversees the program or organisation's budget and policies regarding participant involvement, program requirements, and benefits."
13451,School principal,"School principal plans, directs, coordinates and evaluates the educational and administrative aspects of education and training services, primary and secondary schools, colleges and faculties and departments in universities and other educational/training institutions. He/she provides overall leadership in various areas of the school including professional development, school administration and operations to ensure the provision of a holistic education for students."
13459,"Other education managers (including registrars, deans of education institutions and heads of training institutions)",This group includes education managers not elsewhere classified.
13461,Financial services manager,"Financial services manager coordinates and oversees the operations of an institution or a branch of an institution that offers financial services. He/she leads the team of officers that provide financial services and run banking operations, related to wealth planning, trust administration, credit and lending, private/personal banking, commercial banking, etc."
13462,Insurance services manager,"Insurance services manager coordinates and oversees the operations of an institution or a branch of an institution that offers insurance services. He/she leads the team of officers providing insurance services, such as insurance advice, processing of insurance claims and underwriting of insurance."
13463,Financial risk manager,"Financial risk manager plans, directs and coordinates the financial risk management activities of the organisation. He/she oversees the development and compliance of financial risk (e.g. credit risk, market risk, liquidity risk, etc.) management policies and strategies to meet the requirements of applicable regulations (including financial crimes) and organisational framework."
13491,"National security, civil defence and immigration managerial officer","National security, civil defence and immigration managerial officer leads a department or division of police officers (including auxiliary police officers), fire-fighting and rescue officers or customs/immigration officers. He/she provides overall direction and management for his/her department or division. He/she manages manpower resources, maintains the professionalism and discipline of his/her department or unit. He/she assesses and mitigates security risks, prepares operation orders, and oversees responses to incidents and emergencies."
13492,"Community, partnership and relations manager","Community, partnership and relations manager plans, directs and coordinates activities to improve community relations, and create or maintain a favourable public image and raise issue awareness for his/her organisation or client."
13493,Media and broadcasting manager,"Media and broadcasting manager plans, organises, directs, controls and evaluates operations, such as content localisation and commissioning, regulatory compliance, programme scheduling etc, within media production companies and broadcasting facilities."
13499,"Other professional, financial, community and social services managers n.e.c.","This group includes professional, financial, community and social services managers not elsewhere classified."
14110,Hotel operations/Lodging services manager,"Hotel operations/Lodging services manager plans, directs and controls the organisation, administration and operation of departments, such as reception, housekeeping, purchasing and maintenance. He/she establishes and maintains standards of personnel performance and services to guests."
14121,Restaurant manager,"Restaurant manager plans, organises and directs the operations of a restaurant to provide food and beverages to customers. He/she performs restaurant support functions, such as customer service, scheduling, handling day-to-day operations, cashiering, closing of the till, ordering inventory, and back office support. He/she oversees the recruitment, training and motivation of staff, and maintains quality control, hygiene, and health and safety standards in the dining area. He/she manages inventories and interacts with customers, wait staff and supports employees to ensure efficient operation."
14122,Catering manager,"Catering manager plans, organises, coordinates and directs food and beverages catering operations. He/she arranges banqueting and other special functions. He/she formulates sales strategies and works out different sales tools to achieve revenue goals by attracting various targeted group of guests/customers."
14123,Food and beverage operations manager,"Food and beverage operations manager plans, organises, coordinates and directs food and beverages (F&B) operations, including those related to central kitchen. He/she creates and maintains Standard Operations Procedures (SOP) for the F&B business, including F&B administration and food safety and hygiene practices. He/she maintains brand standards and establishes the brand concept and strategy."
14201,Retail manager,"Retail manager plans, organises, coordinates and controls the operations of establishments that sell goods on a retail basis. He/she oversees the budgets, staffing, and strategic and operational direction of retail shops."
14202,Wholesale trade manager,"Wholesale trade manager plans, organises, coordinates and controls the operations of establishments that sell goods on a wholesale basis. He/she oversees the budgets, staffing, and strategic and operational direction of wholesale shops."
14310,Sports centre manager,"Sports centre manager plans, organises and controls the operations of establishments that provide sporting services."
14321,Casino operations manager,"Casino operations manager oversees the day-to-day operations of gaming facilities. He/she ensures that all gaming rules are followed, and monitors compliance with regulatory requirements."
14322,Attractions manager,"Attractions manager plans, directs and manages the operations of places of interest, such as theme parks, nature parks, art galleries, museums, monuments and public places. He/she maintains and develops the attractions in accordance with strategic plan, nature conservation objectives, individual site management plans. He/she may manage outreach programmes to create greater public awareness of the attractions."
14323,Discotheque/Karaoke/Nightclub manager,Discotheque/Karaoke/Nightclub manager plans and organises a bar and/or nightclub on behalf of the proprietors to provide beverages and entertainment for guests. He/she directs and controls staff to ensure efficient and profitable operation.
14324,Wellness centre manager (e.g. hair/beauty/slimming/spa/manicure/massage),"Wellness centre manager oversees the daily operations and staff management in a wellness centre. He/she ensures customer satisfaction, budget control and inventory management."
14325,Community/country club manager,"Community/Country club manager ensures the entire facility is sanitary according to accepted standards and that all equipment are in good working condition. He/she sets long-term goals for overall business improvement; as well as plans, develops, and executes programs for his/her patrons."
14329,Other recreation centre managers,This group includes recreation centre managers not elsewhere classified.
14330,Arts and cultural centre manager (including gallery and museum manager),"Arts and cultural centre manager plans, organises and controls the operations of establishments that provide artistic and theatrical services."
14391,Event manager,"Event manager plans, directs and oversees venue operations and events such as festivals, conferences, ceremonies, cultural events, exhibitions, formal parties, concerts, or conventions."
14392,Travel agency manager,"Travel agency manager manages employees and activities of a travel agency. He/she organises, advertises and sells travel related products such as travel packages, air tickets and admission tickets to attractions."
14399,Other services managers n.e.c.,This group includes services managers not elsewhere classified.
21110,Physicist/Astronomer,"Physicist/Astronomer conducts research, improves or develops concepts, theories and operational methods concerning matter, space, time, energy, forces and fields and the interrelationship between these physical phenomena. He/she applies scientific knowledge relating to physics and astronomy in industrial, medical, military or other fields."
21120,Meteorologist,"Meteorologist prepares short-term or long-term weather forecasts used in aviation, shipping, agriculture and other areas and for the information of the general public. He/she conducts research related to the composition, structure and dynamics of the atmosphere."
21130,Chemist,"Chemist conducts research, improves or develops concepts, theories and operational methods, or applies scientific knowledge relating to chemistry, to develop new knowledge or products and for quality and process control."
21141,Geologist,"Geologist conducts research into the nature and history of the Earth's crust to increase scientific knowledge and to develop practical applications in such fields as mineral exploitation and civil engineering. He/she applies theoretical knowledge and research data to locate and assess the development potential of mineral, gas, and oil deposits and underground water resources, and applies geological knowledge to problems encountered in civil engineering projects such as construction of dams, bridges, tunnels and large buildings. He/she prepares geological maps and diagrams of regions studied, using aerial photographs where available."
21142,Geophysicist,"Geophysicist conducts research into the physical nature of the Earth, including its atmosphere and hydrosphere, to increase scientific knowledge and to develop practical applications in such fields as radio communications, navigation, flood control, soil and water conservation, water supply and power, drainage and irrigation, volcanology and mineral exploration. He/she investigates and measures seismic, gravitational, electrical, thermal and magnetic forces affecting Earth and optical and acoustic phenomena in the atmosphere. He/she studies the structure of rock formations to locate mineral, gas and oil deposits using physical and electrical testing instruments such as seismograph and magnetometer."
21149,Other physical science professionals,This group includes physical science professionals not elsewhere classified.
21211,Mathematician,Mathematician applies mathematical principles and methods to solve problems. He/she researches on new or improved methods for the application of mathematical theory or analysis. He/she may act as the adviser or consultant on various applications of mathematical research.
21212,Operations research analyst,"Operations research analyst conducts quantitative analytics, data modelling and data analysis to address problems faced by organisations. He/she formulates mathematical models, assembles data relating to or representative of variables in the model, directs computations and other data preparation to test models and solve equations. He/she prepares reports for management describing the solution to the problem and the alternative solutions. He/she may help with the deployment of quantitative models and guide others in the use of analytics to support business needs."
21213,Actuary,"Actuary deals with statistical, mathematical and financial calculations mainly involving the probability of future payments or contingencies in pension or insurance plans. He/she evaluates risks, calculates premium rates and constructs tables of probability for contingencies such as mortality, disability, sickness and accidents and prepares contract provisions of insurance and pension plans. He/she determines proper bases and methods for evaluating liabilities of insurance and pension organisations and equitable bases for distributing surplus earnings under profit-sharing insurance and annuity contracts."
21221,Statistician,"Statistician conducts research and improves or develops statistical concepts, theories and methods. He/she advises on the applicability and efficiency of statistical methods in their practical application in such fields as engineering, business and social and other sciences. He/she evaluates, organises, analyses and interprets data and presents them in forms suitable for users."
21222,Data scientist,"Data scientist develops and implements techniques and analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualisation software. He/she applies data mining, data modelling, natural language processing, and machine learning to extract and analyse information from large structured and unstructured datasets. He/she also visualises, interprets, and reports data findings and may create dynamic data reports as well."
21231,Statistical officer/Data analyst,"Statistical officer/Data analyst performs technical tasks connected with data collection and quality control operations in census and survey operations. He/she collects, inspects, cleans, transforms, validates and models collections of data with regard to the requirements of the project. He/she performs mathematical, actuarial, statistical and related calculations using different IT tools and algorithms as demanded by the situation and data, and prepares these results in graphical or tabular form. He/she ensures that data sources and repositories provide consistent and reliable data."
21239,"Other statistical, mathematical and actuarial professionals",This group includes statistical and mathematical professionals not elsewhere classified.
21311,Biologist,"Biologist conducts research into all forms of life to increase scientific knowledge and develop practical applications in fields such as medicine and agriculture. He/she plans field and laboratory studies of origin, development, functions, structure, distribution, environment, interrelationships and other aspects of life-forms, and observes characteristics and behaviour of life-forms. He/she identifies, classifies and preserves specimens, studies and experiments with biological specimens in laboratories. He/she coordinates, analyses and evaluates results obtained and prepares scientific reports of the findings and conclusions."
21312,Zoologist,"Zoologist conducts research into all forms of animal life to increase scientific knowledge. He/she may specialise in a particular branch of zoology, such as entomology, ornithology or animal ecology, marine biology and fisheries, and be designated accordingly."
21319,"Other biologists, botanists, zoologists and related professionals","This group includes biologists, botanists, zoologists and related professionals not elsewhere classified."
21321,Horticulturist/Arborist,"Horticulturalist/Arborist conducts research into horticultural crops and develops new and improved production methods. He/she performs experiments to improve plant growth, resistance to diseases and insect pests, adaptability to different soils or climates, yields, quality of harvest, etc. He/she studies planting, cultivating and harvesting methods and effects of rotation, drainage, irrigation and climatic conditions and develops improved methods of storage, transportation and processing of horticultural products. He/she advises farmers on selection of horticultural crops and methods of production."
21329,"Other farming, forestry and fishery advisers","This group includes farming, forestry and fishery advisers not elsewhere classified."
21331,Environmental officer (environmental protection),"Environmental officer (environmental protection) identifies, assesses and advises on ways to prevent, control and remediate the impact of environmental problems. He/she formulates environmental protection policies and procedures and implements advanced environmental protection policies and procedures. He/she reviews environmentally friendly trends in industry for implementation and develops measures to enhance organisational awareness of environmental protection."
21332,Environment research scientist (e.g. ecologist),"Environment research scientist conducts research or performs investigations for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or public health. He/she uses knowledge of various scientific disciplines and may collect, synthesise, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources."
21339,Other environmental protection and related professionals,This group includes environmental protection and related professionals not elsewhere classified.
21341,Pharmacologist,"Pharmacologist conducts research into effects of drugs and other substances on humans and animals, and develops new and improved medicinal drugs. He/she performs experiments, tests and analyses to determine effects of drugs and other substances on human tissues, organs, metabolism, cell growth and reproduction, circulation, respiration, digestion and other life processes. He/she may collaborate with medical doctors and pharmacists in the testing of drugs on human beings and standardise drug dosages for treatment of illnesses. He/she may collaborate with industrial pharmacists in development of drugs and standardisation of production methods and drug potency."
21342,Medical laboratory scientist,"Medical laboratory scientist performs clinical tests on bodily fluids and tissues to obtain information about the health status of a patient or cause of death. He/she operates, calibrates and maintains equipment used in analysis, such as mass spectrophotometers and automated analysers. He/she establishes, monitors and reviews quality management programmes to ensure the accuracy of laboratory results. He/she develops, standardises, modifies and evaluates procedures, techniques and tests used in the analysis of specimens. He/she cultures, isolates and identifies micro-organisms and viruses."
21343,Biochemist,"Biochemist conducts research into chemical composition processes of living organisms to increase scientific knowledge and develop industrial, medical and other practical applications. He/she performs experiments, tests and analyses to determine chemical composition of living organisms, chemistry of their vital processes such as breathing, digestion, growth and aging, chemical action of foods, drugs, serums, hormones and other substances on their tissues and vital processes, chemical aspects of formation of antibodies in the blood, and other bio-chemical phenomena. He/she develops new or improved applications of biochemistry in industry, medicine, public health and other fields."
21344,Physiologist,"Physiologist conducts research into biological functions and activities of human organisms to increase scientific knowledge and develop practical applications in medical and related fields. He/she studies functions and working of the brain, nervous system, sensory organs, glands, respiratory and blood circulation systems and other life processes of the human organism and investigates reactions of life processes and functions to changes in altitude, noise levels, motion, light intensity, temperature, humidity and other environmental factors. He/she applies scientific knowledge to problems of physical fitness, nutrition, human endurance and similar matters."
21345,Animal scientist,"Animal scientist conducts research into animal genetics, advanced animal husbandry methods and related matters and applies scientific knowledge to develop improved strains, improved methods of raising animals and higher yields of animal products. He/she conducts experiments to ascertain feed, housing, sanitation and other requirements for production of meat or other animal products of desired quality and for maintenance of health and strength of animals. He/she also develops improved methods of controlling animal parasites and diseases, slaughtering for meat and preparation and storage of animal products."
21346,Medical scientist,"Medical scientist conducts research dealing with the understanding of human diseases and the improvement of human health. He/she engages in clinical investigation, research and development, or other related activities to develop new treatment options, drugs and vaccines."
21347,Clinical research professional,"Clinical research professional plans, directs and coordinates clinical research projects. He/she directs the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. He/she may evaluate and analyse clinical data."
21349,Other pharmacologists and related professionals,This group includes pharmacologists and related professionals not elsewhere classified.
21411,Manufacturing engineer,"Manufacturing engineer applies engineering principles and techniques to design, develop and manage manufacturing processes. He/she studies and advises on the production processes and makes recommendations to promote efficiency and supervises their implementation. He/she consults with management and supervisory personnel to ascertain production objectives and to identify problems, study existing or proposed organisation, processes and procedures, including product design, plant layout, machine utilisation, materials handling, work allocation, cost accounting, inspection and quality control."
21412,Production engineer,"Production engineer reviews and evaluates production performance, performs data analysis and identifies under-performing production systems. He/she analyses workforce utilisation, facility layout, operational data and production schedules and costs to determine optimum worker and equipment efficiencies, and plans production enhancements and process optimisations. He/she prepares production plans, taking account of sequence and timing of each operation, tool and material requirements, machine loads, manpower and other factors. He/she may plan and program work flow for each production line to be consistent with established manufacturing sequences."
21413,Automation engineer (including robotics engineer),"Automation engineer researches, designs, and develops applications and systems for the automation of the production process. He/she implements technology and integrates various systems such as for software automation, factory automation, process automation, warehousing and logistics automation to reduce human input and shorten process time to increase productivity."
21414,Quality control/assurance engineer,Quality control/assurance engineer establishes standards and policies to ensure the production and maintenance processes and manufactured products meet regulatory and customer requirements. He/she conducts internal or external quality audits and investigates work-induced defects. He/she performs root cause and corrective action analysis and monitors the implementation of preventive actions.
21415,Process engineer,"Process engineer applies engineering principles and techniques to optimise the production processes in a manufacturing environment to meet organisational objectives. He/she analyses and troubleshoots process engineering, manufacturing and/or maintenance issues and recommends engineering solutions, and develops work instructions for ‘out of control' processes. He/she leads production and manufacturing systems improvement projects, and develops operation plans in accordance with organisational objectives. He/she also ensures compliance with Workplace Safety and Health, and other relevant regulatory requirements."
21421,Civil engineer,"Civil engineer conducts research, designs, plans and oversees construction and maintenance activities on structures and facilities such as bridges, roads, airports, railways, pipelines and industrial and other large buildings. He/she establishes control systems to ensure efficient functioning of structures as well as safety and environmental protection. He/she organises and directs maintenance and repair of existing civil engineering structures. He/she may analyse the stability of structures, collect and test samples to study the behaviour of soil, rock or construction materials under proposed design parameters."
21422,Building construction engineer,"Building construction engineer determines and specifies construction methods, materials and quality standards, and directs construction work. He/she integrates engineering principles into designs of large buildings to ensure that structures are safe and structurally sound. He/she also plans, organises and supervises the erection, maintenance and repair of buildings. He/she works together with architects and other engineers to transform design ideas into executable plans."
21430,Environmental engineer,"Environmental engineer conducts research, advises on, designs and directs implementation of solutions to prevent, control or remedy negative impacts of human activity on the environment utilising a variety of engineering disciplines. He/she conducts environmental assessments of construction and civil engineering projects and applies engineering principles to pollution control, recycling and waste disposal."
